"year","Jmean","Fmean","Jmax","Fmax"
1983,2.38868715083799,3.06034214618974,7.6,6.2
1984,NA,1.89428989751098,NA,4.8
1985,NA,1.85732484076433,NA,3.1
1986,2.21390449438202,2.83500784929356,5.4,6.3
1987,2.34214876033058,2.26045112781955,4.3,4.4
1988,2.37858672376874,1.81170886075949,5.1,3.3
1989,1.82032301480485,1.45007496251874,3.5,3.3
1990,2.11571815718157,2.01392215568862,5.2,4.2
1991,1.58367071524966,1.87646176911544,4.8,3.4
1992,2.29497282608696,2.17147058823529,4.3,4.2
1993,1.79904761904762,2.11137820512821,4.1,4.4
1994,1.78748299319728,1.89080996884735,4.5,4.3
1995,3.0241847826087,1.61991017964072,6.3,3.7
1996,NA,NA,NA,NA
1997,2.33716417910448,2.43885321100917,5.43,5.21
1998,2.8291782729805,4.03925418569254,6.92,7.34
1999,1.88169603524229,NA,5.61,NA
2000,2.07756497948016,2.84419448476052,5.87,5.7
2001,2.90188602442334,2.46640909090909,6.88,5.72
2002,2.50937921727395,2.04658208955224,5.27,4.66
2003,2.49224324324324,1.98856502242152,5.46,3.74
2004,2.12872139973082,2.60146164978292,4.23,6.83
2005,2.13485868102288,1.87106128550075,4.79,3.77
2006,2.70075471698113,2.09817365269461,6.14,4.79
2007,2.17572591587517,2.43065868263473,4.66,5.27
2008,2.61610425240055,2.61520527859238,8.6,7
2009,1.76901525658807,2.35289393939394,3.26,5.45
2010,NA,2.54468193384224,NA,6.27
2011,2.11301675977654,NA,4.46,NA
2012,2.23766937669377,2.52820549927641,5.08,4.64
2013,2.17173677069199,2.44322822822823,4.32,4.43
2014,1.9321875,1.92284848484848,4.92,4.2
2015,1.6490612244898,1.9698048048048,3.12,5.72
2016,2.90522388059701,2.35713043478261,6.12,4.83
2017,2.63554952510176,2.33880597014925,7.35,4.71
2018,2.30939189189189,1.83968325791855,5.56,3.83
2019,2.39581967213115,2.64559701492537,6.74,5.59
2020,2.5278734858681,2.08832611832612,4.94,4.44
