"year","Jmean","Fmean","Jmax","Fmax"
1983,3.9063829787234,3.01166077738516,7.6,5.8
1984,NA,1.70496453900709,NA,3
1985,NA,1.57666666666667,NA,2.1
1986,2.54874371859296,3.2561872909699,5.4,6.3
1987,2.46845637583893,2.27259259259259,4.3,3.8
1988,2.62843137254902,1.71428571428571,4.8,2.5
1989,1.58279569892473,1.62272727272727,2.3,2.5
1990,2.26597222222222,2.22388059701493,3.2,3.5
1991,1.56910569105691,1.88291139240506,3.2,3.4
1992,2.63648648648649,2.30848484848485,4.3,4.2
1993,2.25804597701149,2.38541666666667,4,4.4
1994,1.92595419847328,2.03941605839416,4.5,4.3
1995,3.18587196467991,1.63507462686567,6.3,3.1
1996,NA,NA,NA,NA
1997,2.95141242937853,1.87133333333333,5.43,3.19
1998,2.83192878338279,4.1454441260745,6.16,7.34
1999,2.81444444444444,NA,5.61,NA
2000,2.25421985815603,2.80779944289694,5.87,5.59
2001,3.34963730569948,2.44755172413793,6.88,5.72
2002,2.44753968253968,2.17269230769231,4.7,4.66
2003,2.43093117408907,2.03817073170732,3.69,3.4
2004,2.28640718562874,2.74659793814433,4.07,6.83
2005,2.53594444444444,1.95772486772487,4.79,3.77
2006,2.86427906976744,2.18518518518519,6.14,4.79
2007,2.04267605633803,2.34468181818182,3.27,4.99
2008,3.15747787610619,2.70652892561983,8.6,7
2009,1.61529411764706,2.52040441176471,2.91,5.45
2010,NA,2.29361904761905,NA,5.03
2011,1.74866666666667,NA,3.42,NA
2012,2.37766129032258,2.26088235294118,5.08,3.76
2013,1.8409375,2.27625,2.33,3.21
2014,NA,NA,NA,NA
2015,1.73862745098039,2.70728915662651,2.68,5.72
2016,3.25201438848921,2.54483870967742,5.62,4.33
2017,3.31781395348837,2.62438871473354,7.35,4.58
2018,2.33601351351351,1.35666666666667,5.56,1.78
2019,3.06386759581882,2.83368852459016,6.61,5.59
2020,2.49731884057971,1.398125,4.53,2.1
